Id,PARK_NAME,BUILDING,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc
PNR-154,Norman (Butch) Ellis Playground,Y,39.96593196,-75.20088332,0,,14,GM-3_GM-19_GM-20_GM-21_GM-22_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_
PNR-155,Woodside Park,Y,40.00207671,-75.20844808,0,,0,
PNR-156,Clayborne and Lewis Playground,Y,39.97348146,-75.19896285,0,,11,GM-3_GM-20_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_
PNR-157,Holme Crispin Park,Y,40.05729491,-75.02189588,0,,0,
PNR-158,Lincoln Indoor Pool,Y,40.0426712,-75.03992289,0,,0,
PNR-159,Lauretha Vaird Fields,Y,40.02210566,-75.11298601,0,,0,
PNR-160,Hammond and Nedro Fields,Y,40.03987896,-75.11568438,0,,0,
PNR-161,Allens Lane Art Center,Y,40.05200499,-75.20287273,0,,0,
PNR-162,Fernhill Park,Y,40.01920309,-75.16805868,0,,2,GM-15_PM-57_
PNR-163,Venice Island Performing Arts and Recreation Center,Y,40.02330914,-75.22184019,0,,0,
PNR-164,David P Montgomery Field,Y,40.02196707,-75.20320885,0,,0,
PNR-165,29th and Chalmers Playground,Y,39.99901849,-75.17967686,0,,5,GM-0_PM-38_PM-44_PM-49_PM-57_
PNR-166,Thomas B Smith Recreation Center,Y,39.92542697,-75.18736468,0,,4,PM-14_PM-23_PM-27_PM-29_
PNR-167,East Passyunk Community Recreation Center,Y,39.92627489,-75.1634348,0,,5,PM-8_PM-9_PM-14_PM-23_PM-33_
PNR-168,Frankford and Solly Playground,Y,40.04406173,-75.02095803,0,,0,
PNR-169,John Dickinson Square,Y,39.92758567,-75.1516727,0,,3,PM-9_PM-12_PM-33_
PNR-170,Ralph R Rizzo Sr Ice Rink,Y,39.93274882,-75.14542678,0,,4,PM-8_PM-9_PM-12_PM-33_
PNR-171,Laura Sims Skating Rink,Y,39.95930112,-75.24810754,0,,0,
PNR-172,Juniata Park Older Adult Center,Y,40.00384922,-75.10455182,0,,1,GM-12_
PNR-173,Pennypack Environmental Center,Y,40.08750802,-75.05915831,0,,0,
PNR-174,Wissahickon Environmental Center,Y,40.08130529,-75.23387145,0,,0,
PNR-175,Cobbs Creek Community Environmental Center,Y,39.95198692,-75.25041458,0,,0,
PNR-176,Dr Martin Luther King Jr Older Adult Center,Y,39.97992947,-75.16958498,0,,13,GM-0_GM-4_PM-10_PM-16_PM-18_PM-25_PM-26_PM-32_PM-34_PM-38_PM-39_PM-44_PM-49_
PNR-177,West Oak Lane Senior Center,Y,40.06437774,-75.15421001,0,,0,
PNR-178,Mann Older Adult Center,Y,40.00072425,-75.1381381,0,,11,GM-10_GM-13_PM-34_PM-35_PM-39_PM-41_PM-43_PM-45_PM-50_PM-55_PM-57_
PNR-179,Northeast Older Adult Center,Y,40.06252311,-75.05131603,0,,0,
PNR-180,South Philadelphia Older Adult Center,Y,39.93136989,-75.16253172,0,,7,GM-1_PM-8_PM-9_PM-12_PM-14_PM-23_PM-33_
PNR-181,33rd and Wallace Playground,Y,39.96503672,-75.19081262,0,,15,GM-3_GM-19_GM-20_GM-21_PM-6_PM-7_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_
