,Id,PARK_NAME,BUILDING,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc,geometry,GeoID
34,PNR-34,Francisville Recreation Center,Y,39.96849538,-75.16712929,0,,21,GM-2_GM-4_GM-6_GM-7_GM-8_GM-9_GM-11_GM-14_GM-16_PM-0_PM-1_PM-4_PM-6_PM-10_PM-11_PM-13_PM-16_PM-18_PM-25_PM-26_PM-32_,POINT (-8367566.556954959 4861365.169580686),421010255003
35,PNR-35,Samuel Rose Recreation Center,Y,39.97312812,-75.26015319,0,,0,,POINT (-8377921.930134563 4862038.099166995),421010256002
36,PNR-36,Charles A Papa Playground,Y,39.97445813,-75.25630045,0,,0,,POINT (-8377493.045079605 4862231.298465688),421010094004
37,PNR-37,Fishtown Recreation Center,Y,39.97185194,-75.12780419,1,WL-11_,9,GM-9_GM-13_PM-13_PM-15_PM-18_PM-24_PM-42_PM-43_PM-45_,POINT (-8363188.906847565 4861852.722831285),421010014003
38,PNR-38,Narcissa S Cruz Recreation Center,Y,39.97323548,-75.14534802,0,,16,GM-2_GM-9_GM-11_GM-13_PM-4_PM-10_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_PM-34_PM-35_PM-43_PM-45_,POINT (-8365141.877069728 4862053.694306266),421010038002
39,PNR-39,Conestoga Community Playground,Y,39.97551667,-75.22811203,0,,2,PM-40_PM-53_,POINT (-8374355.124518937 4862385.066301515),421010218002
40,PNR-40,Dan Shissler Recreation Center,Y,39.97756361,-75.13233696,0,,13,GM-9_GM-13_PM-13_PM-15_PM-16_PM-18_PM-24_PM-34_PM-35_PM-41_PM-42_PM-43_PM-45_,POINT (-8363693.492495849 4862682.419906776),421010030015
41,PNR-41,Ernest L Tustin Recreation Center,Y,39.98186735,-75.24070891,0,,0,,POINT (-8375757.402786121 4863307.641980879),421010348021
42,PNR-42,Dr Martin Luther King Jr Recreation Center,Y,39.98081653,-75.16995131,0,,13,GM-0_GM-4_PM-10_PM-16_PM-18_PM-25_PM-26_PM-32_PM-34_PM-38_PM-39_PM-44_PM-49_,POINT (-8367880.702784368 4863154.98138839),421010210001
43,PNR-43,Parkside Evans Recreation Center,Y,39.98326167,-75.22658553,0,,0,,POINT (-8374185.195316241 4863510.209048553),421010153002
44,PNR-44,Fletcher B Amos Playground,Y,39.98171659,-75.16029959,0,,17,GM-0_GM-4_GM-9_PM-10_PM-13_PM-15_PM-16_PM-18_PM-25_PM-26_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-44_,POINT (-8366806.278228688 4863285.739787819),421010032005
45,PNR-45,Frederick Cione Playground,Y,39.98101037,-75.1184313,0,,6,GM-12_GM-13_PM-24_PM-42_PM-43_PM-45_,POINT (-8362145.521505502 4863183.141818984),421010066002
46,PNR-46,8th and Diamond Playground,Y,39.98323717,-75.14745045,0,,23,GM-0_GM-4_GM-9_GM-10_GM-13_PM-10_PM-13_PM-15_PM-16_PM-18_PM-24_PM-25_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-42_PM-43_PM-45_PM-50_PM-55_,POINT (-8365375.918506755 4863506.649648337),421010277005
47,PNR-47,Reverend M Monkiewicz Recreation Center,Y,39.98298027,-75.10022755,0,,1,GM-12_,POINT (-8360119.089324975 4863469.32687151),421010301004
48,PNR-48,Cohocksink Recreation Center,Y,39.98412862,-75.11255696,0,,5,GM-12_GM-13_PM-42_PM-43_PM-45_,POINT (-8361491.592967956 4863636.161789299),421010009021
49,PNR-49,Eric W (Hank) Gathers Jr Recreation Center,Y,39.98759003,-75.17484853,0,,9,GM-0_GM-4_PM-25_PM-26_PM-32_PM-38_PM-39_PM-44_PM-49_,POINT (-8368425.85882107 4864139.060326995),421010009022
50,PNR-50,Bernard Samuel Playground,Y,39.99068624,-75.0970003,0,,1,GM-12_,POINT (-8359759.833498314 4864588.921573807),421010009011
51,PNR-51,12th and Cambria Playground,Y,39.99681664,-75.14978668,0,,16,GM-0_GM-4_GM-10_GM-13_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-43_PM-44_PM-45_PM-50_PM-55_PM-57_,POINT (-8365635.986440734 4865479.693086179),421010009012
52,PNR-52,Robert T Heitzman Recreation Center,Y,39.99770506,-75.09865666,0,,1,GM-12_,POINT (-8359944.218650084 4865608.790680795),421010242004
53,PNR-53,Ramonita Negron Rivera Recreation and Community Center,Y,40.00044753,-75.13762017,0,,11,GM-10_GM-13_PM-34_PM-35_PM-39_PM-41_PM-43_PM-45_PM-50_PM-55_PM-57_,POINT (-8364281.616742803 4866007.313556257),421010242002
54,PNR-54,Sergeant John J McVeigh Recreation Center,Y,40.00016946,-75.12154861,0,,8,GM-10_GM-12_GM-13_PM-42_PM-43_PM-45_PM-50_PM-55_,POINT (-8362492.538867349 4865966.904999107),421010243001
55,PNR-55,Bridesburg Recreation Center,Y,39.99952346,-75.06818741,0,,0,,POINT (-8356552.397255229 4865873.030250719),421010243003
56,PNR-56,Vincent G Panati Playground,Y,40.00214183,-75.16578241,0,,9,GM-0_GM-4_GM-10_PM-32_PM-38_PM-39_PM-44_PM-49_PM-57_,POINT (-8367416.6229592 4866253.529283318),421010242001
57,PNR-57,John (Steve) Schmidt Playground,Y,40.0018467,-75.1292342,0,,8,GM-10_GM-12_GM-13_PM-41_PM-43_PM-45_PM-50_PM-55_,POINT (-8363348.094832595 4866210.640543392),421010021001
58,PNR-58,Joseph A Scanlon Playground,Y,40.00145766,-75.10836046,0,,1,GM-12_,POINT (-8361024.440724842 4866154.104942855),421010020002
59,PNR-59,Jerome Brown Playground,Y,40.0062418,-75.16140023,0,,6,GM-0_GM-10_PM-38_PM-39_PM-44_PM-57_,POINT (-8366928.800913035 4866849.362329882),421010020001
60,PNR-60,Gustine Recreation Center,Y,40.01335603,-75.20358875,0,,0,,POINT (-8371625.205476755 4867883.331242319),421010200001
61,PNR-61,Carmella A DiTizio Playground,Y,40.01112118,-75.07311198,0,,0,,POINT (-8357100.597880006 4867558.510704229),421010201024
62,PNR-62,Boniface Piccoli Playground,Y,40.01279776,-75.09687267,0,,0,,POINT (-8359745.625791702 4867802.18942563),421010201021
63,PNR-63,Hunting Park,Y,40.01766214,-75.14365306,0,,0,,POINT (-8364953.194985614 4868509.2255957),421010201022
64,PNR-64,American Legion Playground,Y,40.0184248,-75.05427955,0,,0,,POINT (-8355004.181362006 4868620.082567624),421010201013
65,PNR-65,Feltonville Recreation Center,Y,40.02161957,-75.12093218,0,,0,,POINT (-8362423.918193638 4869084.474037518),421010201023
66,PNR-66,Private Alfred J Simpson Memorial Recreation Center,Y,40.02152856,-75.09312462,0,,0,,POINT (-8359328.394774235 4869071.244531502),421010202006
67,PNR-67,Frank JG Dorsey Memorial Playground,Y,40.02131385,-75.04857506,0,,0,,POINT (-8354369.160439971 4869040.03366596),421010157003
68,PNR-68,Stenton Park,Y,40.02449835,-75.15231546,0,,1,GM-15_,POINT (-8365917.48894266 4869502.951855459),421010168001
69,PNR-69,Joseph C McIlvain Playground,Y,40.02423598,-75.08013192,0,,0,,POINT (-8357882.054026205 4869464.811347881),421010206001
