,Id,PARK_NAME,BUILDING,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc,geometry,GeoID
114,PNR-114,Tomlinson and Gifford Playground,Y,40.11490966,-75.02472468,0,,0,,POINT (-8351714.148283144 4882654.715617164),421010055003
115,PNR-115,Lonnie Young Recreation Center of East Germantown,Y,40.04999922,-75.15956395,0,,1,GM-5_,POINT (-8366724.387158481 4873210.692255003),421010311011
116,PNR-116,William (Billy) Gambrel Playground,Y,40.01422542,-75.07587524,0,,0,,POINT (-8357408.202576135 4868009.694152453),421010179001
117,PNR-117,Penrose Memorial Playground,Y,39.98607489,-75.15171967,0,,20,GM-0_GM-4_GM-10_GM-13_PM-15_PM-16_PM-18_PM-25_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-43_PM-44_PM-45_PM-50_PM-55_PM-57_,POINT (-8365851.165903242 4863918.92675594),421010180021
118,PNR-118,Francis J Myers Recreation Center,Y,39.93462566,-75.22848905,0,,3,PM-46_PM-47_PM-52_,POINT (-8374397.094193356 4856446.801328097),421010180022
119,PNR-119,Marie Dendy Recreation Center,Y,39.97608265,-75.15077396,0,,20,GM-0_GM-2_GM-4_GM-9_GM-11_PM-4_PM-10_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_PM-25_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_,POINT (-8365745.889947603 4862467.28384085),421010180024
120,PNR-120,Hancock Playground,Y,39.97288301,-75.13731965,0,,14,GM-9_GM-13_PM-10_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_PM-34_PM-35_PM-42_PM-43_PM-45_,POINT (-8364248.163009427 4862002.494521593),421010180012
121,PNR-121,Waterloo Playground,Y,39.98857526,-75.13292583,0,,14,GM-10_GM-12_GM-13_PM-18_PM-24_PM-34_PM-35_PM-39_PM-41_PM-42_PM-43_PM-45_PM-50_PM-55_,POINT (-8363759.045204391 4864282.206285372),421010180023
122,PNR-122,Charles A Baker Playground,Y,39.97723084,-75.23118655,0,,0,,POINT (-8374697.378519773 4862634.078675362),421010183001
123,PNR-123,James L Wright Playground,Y,39.9637683,-75.19086662,1,WL-5_,16,GM-3_GM-19_GM-20_GM-21_GM-22_PM-6_PM-7_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_,POINT (-8370208.984443351 4860678.583624514),421010358003
124,PNR-124,Cecil B Moore Recreation Center,Y,39.99366032,-75.16755266,0,,11,GM-0_GM-4_PM-25_PM-26_PM-32_PM-34_PM-38_PM-39_PM-44_PM-49_PM-57_,POINT (-8367613.686287777 4865021.05724581),421010359001
125,PNR-125,Wharton Square,Y,39.93549944,-75.18324594,0,,9,GM-17_PM-3_PM-5_PM-7_PM-8_PM-14_PM-23_PM-27_PM-29_,POINT (-8369360.654226254 4856573.656097465),421010074002
126,PNR-126,Shot Tower Recreation Center,Y,39.93479863,-75.14593696,0,,4,PM-8_PM-9_PM-12_PM-33_,POINT (-8365207.437570637 4856471.912863171),421010072006
127,PNR-127,Hawthorne Cultural Center,Y,39.93847958,-75.16349396,0,,15,GM-1_GM-6_GM-7_GM-14_GM-17_PM-0_PM-2_PM-3_PM-5_PM-7_PM-8_PM-9_PM-12_PM-14_PM-23_,POINT (-8367161.873870494 4857006.322920984),421010073001
128,PNR-128,Starr Garden Playground,Y,39.94272067,-75.15283583,0,,17,GM-1_GM-6_GM-7_GM-8_GM-11_GM-14_GM-16_GM-17_GM-18_PM-0_PM-1_PM-2_PM-3_PM-5_PM-8_PM-9_PM-12_,POINT (-8365975.416266085 4857622.091227395),421010074005
129,PNR-129,Charles Seger Park,Y,39.94361834,-75.15930833,0,,20,GM-1_GM-6_GM-7_GM-8_GM-11_GM-14_GM-16_GM-17_GM-18_PM-0_PM-1_PM-2_PM-3_PM-5_PM-6_PM-7_PM-8_PM-9_PM-12_PM-14_,POINT (-8366695.931670246 4857752.42977065),421010176021
130,PNR-130,William H (Billy) Markward Memorial Playground,Y,39.94799461,-75.18327252,0,,25,GM-1_GM-6_GM-7_GM-8_GM-17_GM-19_GM-20_GM-21_PM-0_PM-2_PM-3_PM-5_PM-6_PM-7_PM-8_PM-14_PM-17_PM-19_PM-20_PM-21_PM-22_PM-23_PM-27_PM-28_PM-29_,POINT (-8369363.613098319 4858387.873354639),421010064001
131,PNR-131,Johnny Sample Recreation Center,Y,39.95819632,-75.24910303,0,,0,,POINT (-8376691.831950179 4859869.340901943),421010061002
132,PNR-132,John A Lee Cultural Center,Y,39.961664,-75.2107279,0,,16,GM-3_GM-19_GM-20_GM-21_GM-22_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_PM-53_PM-54_,POINT (-8372419.932019453 4860372.959296734),421010064002
133,PNR-133,West Mill Creek,Y,39.96746678,-75.22302452,0,,6,GM-3_PM-30_PM-36_PM-40_PM-53_PM-54_,POINT (-8373788.785496331 4861215.766266579),421010065001
134,PNR-134,Haddington-Marshall L Shepard Sr Recreation Center,Y,39.96726986,-75.23417965,0,,3,PM-40_PM-53_PM-54_,POINT (-8375030.568887665 4861187.164052987),421010065002
135,PNR-135,East Poplar Playground,Y,39.96679646,-75.15115213,0,,19,GM-2_GM-6_GM-7_GM-8_GM-9_GM-11_GM-14_GM-16_GM-18_PM-0_PM-1_PM-4_PM-10_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_,POINT (-8365787.987639436 4861118.404041154),421010065003
136,PNR-136,Carousel House Recreation Center,Y,39.97925153,-75.21270627,0,,3,PM-30_PM-36_PM-40_,POINT (-8372640.163160454 4862927.626318846),421010176022
137,PNR-137,Michael J Towey Playground,Y,39.97839894,-75.13510968,0,,13,GM-9_GM-13_PM-13_PM-15_PM-16_PM-18_PM-24_PM-34_PM-35_PM-41_PM-42_PM-43_PM-45_,POINT (-8364002.15027436 4862803.768664067),421010177011
138,PNR-138,Smith Memorial Playground and Playhouse,Y,39.98161137,-75.19536151,0,,7,PM-19_PM-20_PM-21_PM-22_PM-26_PM-30_PM-49_,POINT (-8370709.353309323 4863270.453608218),421010177022
139,PNR-139,Joseph E Mander Playground,Y,39.98978191,-75.18780303,0,,4,PM-25_PM-26_PM-44_PM-49_,POINT (-8369867.947164552 4864457.525593421),421010177021
140,PNR-140,Harry S McDevitt Playground,Y,40.00879634,-75.18676969,0,,1,PM-49_,POINT (-8369752.916281936 4867220.622006194),421010177024
141,PNR-141,Happy Hollow Recreation Center,Y,40.0236932,-75.16627217,0,,2,GM-5_GM-15_,POINT (-8367471.14279301 4869385.908338596),421010177025
142,PNR-142,Wissinoming Park,Y,40.02401372,-75.06961996,0,,0,,POINT (-8356711.867991765 4869432.501712231),421010178001
143,PNR-143,Torresdale Recreation Center,Y,40.05897969,-74.99820507,0,,0,,POINT (-8348761.998801908 4874516.752512072),421010178004
144,PNR-144,Athletic Recreation Center,Y,39.97795136,-75.1786677,0,,8,GM-0_GM-4_PM-10_PM-25_PM-26_PM-32_PM-38_PM-49_,POINT (-8368851.006880725 4862738.74833572),421010065004
145,PNR-145,Eastwick Regional Playground,Y,39.90443774,-75.25110101,0,,0,,POINT (-8376914.246066394 4852065.134249089),421010073002
146,PNR-146,Frank S Nelson Jr Memorial Recreation Center,Y,39.9890714,-75.13818642,0,,14,GM-10_GM-13_PM-15_PM-16_PM-18_PM-34_PM-35_PM-39_PM-41_PM-42_PM-43_PM-45_PM-50_PM-55_,POINT (-8364344.651404464 4864354.292200196),421010073003
147,PNR-147,Joseph A Ferko Playground,Y,40.01477654,-75.10499811,0,,0,,POINT (-8360650.145634973 4868089.798423018),421010074001
148,PNR-148,Victor J Moss Memorial Field,Y,40.01627911,-75.06283087,0,,0,,POINT (-8355956.109950016 4868308.197473746),421010118003
149,PNR-149,Black Coyle and McBride Playground,Y,39.98380829,-75.12345451,0,,8,GM-12_GM-13_PM-24_PM-35_PM-41_PM-42_PM-43_PM-45_,POINT (-8362704.70268485 4863589.623231317),421010125003
150,PNR-150,Ramblers Recreation Center,Y,40.00160124,-75.11234902,0,,1,GM-12_,POINT (-8361468.445193041 4866174.970064525),421010125002
151,PNR-151,Fisher Park,Y,40.04354765,-75.13106611,0,,0,,POINT (-8363552.022120973 4872272.52472701),421010030012
152,PNR-152,Heritage Park Playground,Y,40.0006427,-75.15557136,0,,13,GM-0_GM-4_GM-10_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-44_PM-50_PM-55_PM-57_,POINT (-8366279.934072735 4866035.675355184),421010030013
153,PNR-153,Marie Winchester Playground,Y,39.98880972,-75.15777061,0,,17,GM-0_GM-4_GM-10_PM-16_PM-18_PM-25_PM-26_PM-32_PM-34_PM-35_PM-38_PM-39_PM-41_PM-44_PM-50_PM-55_PM-57_,POINT (-8366524.753462862 4864316.271733061),421010030014
154,PNR-154,Norman (Butch) Ellis Playground,Y,39.96593196,-75.20088332,0,,14,GM-3_GM-19_GM-20_GM-21_GM-22_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_,POINT (-8371324.038386781 4860992.83908854),421010031002
155,PNR-155,Woodside Park,Y,40.00207671,-75.20844808,0,,0,,POINT (-8372166.143617952 4866244.065930055),421010031003
156,PNR-156,Clayborne and Lewis Playground,Y,39.97348146,-75.19896285,0,,11,GM-3_GM-20_PM-17_PM-19_PM-20_PM-21_PM-22_PM-28_PM-30_PM-36_PM-40_,POINT (-8371110.252644297 4862089.425512246),421010031004
