,Id,Region,Area,Name,Address,Lat,Long,Wifi_Points,Wifi_Locs,Meal_Points,Meal_Loc,geometry,GeoID
0,PL-0,North Philadelphia,Brewerytown,22nd & Turner Street Lot,"2200 Turner StreetPhiladelphia, PA 19121",39.9792289,-75.1712891,0,,13,GM-0_GM-4_PM-10_PM-16_PM-18_PM-25_PM-26_PM-32_PM-34_PM-38_PM-39_PM-44_PM-49_,POINT (-8368029.624885956 4862924.338788203),421010038003
1,PL-1,North Philadelphia,Fairmount,19th &  Callowhill,"900 Callowhill StreetPhiladelphia, PA 19130",39.95858625,-75.15373382,0,,25,GM-1_GM-2_GM-6_GM-7_GM-8_GM-9_GM-11_GM-14_GM-16_GM-17_GM-18_PM-0_PM-1_PM-2_PM-3_PM-4_PM-5_PM-6_PM-9_PM-10_PM-11_PM-12_PM-13_PM-15_PM-18_,POINT (-8366075.380055622 4859925.969974221),421010381001
2,PL-2,North Philadelphia,Fairhill,West Somerset Street Lot,"401 W. Somerset StreetPhiladelphia, PA 19133",39.99399865,-75.13793957,0,,11,GM-10_GM-13_PM-34_PM-35_PM-39_PM-41_PM-42_PM-43_PM-45_PM-50_PM-55_,POINT (-8364317.172188161 4865070.217997118),421010380001
3,PL-3,North Philadelphia,Fairhill,5th & Indiana Street Lot,"5th Street & Indiana Street Philadelphia, PA 19134",40.00316192,-75.13786399,0,,9,GM-10_GM-13_PM-39_PM-41_PM-43_PM-45_PM-50_PM-55_PM-57_,POINT (-8364308.758661047 4866401.771739528),421019805001
4,PL-4,North Philadelphia,Strawberry Mansion,32nd & West Lehigh Avenue Lot,"3250 W. Lehigh AvenuePhiladelphia, PA 19132  ",39.99786666,-75.18474839,0,,5,GM-0_PM-26_PM-38_PM-44_PM-49_,POINT (-8369527.906195194 4865632.273190958),421010003001
5,PL-5,North Philadelphia,West Kensington,East Huntingdon Street Lot,"301 E. Huntingdon StreetPhiladelphia, PA 19125",39.98928758,-75.1276435,0,,11,GM-10_GM-12_GM-13_PM-34_PM-35_PM-41_PM-42_PM-43_PM-45_PM-50_PM-55_,POINT (-8363171.01891859 4864385.701911806),421010184002
6,PL-6,North Philadelphia,West Poplar,6th & Marshall Street Lot,"982 N. 6th Street Philadelphia, PA 19123",39.97020837,-75.14678654,0,,17,GM-2_GM-9_GM-11_GM-14_GM-16_GM-18_PM-1_PM-4_PM-10_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_PM-34_PM-35_,POINT (-8365302.012383623 4861613.984975607),421010298004
7,PL-7,North Philadelphia,Logan,North Broad Street Lot,"4850 N. Broad StreetPhiladelphia, PA 19141",40.02744864,-75.14756312,0,,0,,POINT (-8365388.460873784 4869931.843145119),421010366001
8,PL-8,North Philadelphia,Logan,Fern Rock Rail Station Parking Lot,"901 Nedro AvenuePhiladelphia, PA 19141",40.04249919,-75.13536259,0,,0,,POINT (-8364030.304086777 4872120.069275014),421010002001
9,PL-9,North Philadelphia,Olney,Fairhill Street Lot,"5541 Fairhill StreetPhiladelphia, PA 19120",40.03638197,-75.1314048,0,,0,,POINT (-8363589.724919309 4871230.617568405),421010367001
10,PL-10,Northeast Philadelphia,Fishtown,Thompson St. & Frankford Avenue Lot,"1300-04 Frankford AvenuePhiladelphia, PA 19125",39.97050532,-75.1346529,0,,12,GM-9_GM-13_PM-11_PM-13_PM-15_PM-16_PM-18_PM-24_PM-35_PM-42_PM-43_PM-45_,POINT (-8363951.301757357 4861657.118220868),421010280003
11,PL-11,Northeast Philadelphia,Port Richmond,Ruth & Clearfield Lot,"1804-36 E. Clearfield Street Philadelphia, PA 19134",39.99437149,-75.11549926,0,,5,GM-12_GM-13_PM-42_PM-43_PM-45_,POINT (-8361819.128305719 4865124.393476526),421010380002
12,PL-12,Northeast Philadelphia,Kensington,Hancock & Somerset Street Lot ,"181 W. Somerset StreetPhiladelphia, PA 19133",39.99300565,-75.13352486,0,,12,GM-10_GM-12_GM-13_PM-34_PM-35_PM-39_PM-41_PM-42_PM-43_PM-45_PM-50_PM-55_,POINT (-8363825.728918961 4864925.931672862),421010042014
13,PL-13,Northeast Philadelphia,Tacony,Vincent Street & Frankford Avenue Lot,"7143 Frankford AvenuePhiladelphia, PA 19135",40.03514875,-75.042849,0,,0,,POINT (-8353731.738356519 4871051.315448075),421010372003
14,PL-14,Northeast Philadelphia,Frankford,Arrott & Griscom Street Lot  ,"667-83 Griscom StreetPhiladelphia, PA 19124",40.01682821,-75.08584075,0,,0,,POINT (-8358517.558074831 4868388.01054165),421010281002
15,PL-15,Northeast Philadelphia,Frankford,Frankford Avenue Lot,"4234 Frankford AvenuePhiladelphia, PA 19124",40.01057982,-75.08981859,0,,0,,POINT (-8358960.369198087 4867479.829240005),421010278001
16,PL-16,Northeast Philadelphia,Fox Chase,Fox Chase Rail Station Parking Lot,"500 Rhawn StreetPhiladelphia, PA 19111",40.07575012,-75.08078014,0,,0,,POINT (-8357954.213546528 4876956.194063745),421010256003
17,PL-17,Northeast Philadelphia,Torresdale,Torresdale Rail Station Parking Lot,"4900 Grant AvenuePhiladelphia, PA 191",40.05476284,-74.98362303,0,,0,,POINT (-8347138.733534381 4873903.460259333),421010263014
18,PL-18,Northeast Philadelphia,Lawncrest,Rising Sun Avenue Lot,"6413 Rising Sun AvenuePhiladelphia, PA 19111",40.05060764,-75.09553761,0,,0,,POINT (-8359597.007592323 4873299.171407651),421010263021
19,PL-19,Northwest Philadelphia,Manayunk,Umbria Street Lot,"4712 Umbria StreetPhiladelphia, PA 19127",40.03184087,-75.23123248,0,,0,,POINT (-8374702.491423983 4870570.387347824),421010263022
20,PL-20,Northwest Philadelphia,Manayunk,Manayunk Avenue Lot,"4418 Manayunk AvenuePhiladelphia, PA 19128",40.0315316,-75.22046193,0,,0,,POINT (-8373503.519282419 4870525.424202405),421010263023
21,PL-21,Northwest Philadelphia,Mount Airy,Durham Street & Germantown Avenue Lot,"7142 Germantown Avenue Philadelphia, PA 19119",40.05970914,-75.19127279,0,,0,,POINT (-8370254.199080926 4874622.846461479),421010264002
22,PL-22,Northwest Philadelphia,Chestnut Hill,Highland Station Lot,"8400 Seminole StreetPhiladelphia, PA 19118",40.07065881,-75.21072629,0,,0,,POINT (-8372419.752795073 4876215.54412655),421010363011
23,PL-23,Northwest Philadelphia,Germantown,West Armat St & Germantown Avenue Lot,"5526-28 Germantown Avenue Philadelphia, PA 19144",40.03532213,-75.17421576,0,,2,GM-5_GM-15_,POINT (-8368355.419186881 4871076.523569951),421010363022
24,PL-24,Northwest Philadelphia,Germantown,Greene Street Lot,"5525 Greene StreetPhiladelphia, PA 19144",40.03448297,-75.17536276,0,,2,GM-5_GM-15_,POINT (-8368483.102642821 4870954.516739307),421010264006
25,PL-25,Northwest Philadelphia,Germantown,Maplewood Mall Lot,"58 W Maplewood Mall Philadelphia, PA 19144",40.03461048,-75.17576824,0,,2,GM-5_GM-15_,POINT (-8368528.240469947 4870973.055527868),421010264007
26,PL-26,Northwest Philadelphia,Hunting Park,Germantown & Venango,"3601 Germantown AvenuePhiladelphia, PA 19140",40.00833747,-75.15000591,0,,6,GM-10_PM-39_PM-41_PM-50_PM-55_PM-57_,POINT (-8365660.391012699 4867153.93190047),421010264004
